Customer ID,Credit Score,Annual Income,Debt-to-Income Ratio,Total Debt,Loan Amount,Loan Term,Loan Repayment History,Account Balance,Monthly Expenditure,Credit Card Utilization,Default History,Employment Status,Collateral Value,Risk Grade
10001,750,120000,0.25,50000,30000,5,on time,10000,5000,0.3,no,employed,20000,low
10002,680,90000,0.35,70000,40000,10,late,8000,6000,0.4,yes,self-employed,15000,medium
10003,820,180000,0.2,100000,60000,7,on time,12000,7000,0.2,no,unemployed,25000,low
10004,740,110000,0.3,80000,50000,8,late,9000,6500,0.35,yes,employed,18000,medium
10005,660,80000,0.4,90000,70000,9,on time,11000,7500,0.45,no,self-employed,20000,high
10006,780,160000,0.15,60000,40000,6,late,13000,8000,0.25,yes,unemployed,22000,medium
10007,720,130000,0.25,70000,50000,4,on time,10000,5500,0.3,no,employed,15000,low
10008,640,70000,0.35,80000,60000,11,late,9000,7000,0.4,yes,self-employed,18000,high
10009,800,190000,0.1,50000,30000,3,on time,12000,9000,0.2,no,unemployed,25000,low
10010,760,140000,0.2,60000,40000,5,late,11000,6000,0.25,yes,employed,22000,medium
10011,700,120000,0.3,80000,70000,10,on time,10000,7000,0.35,no,self-employed,20000,low
10012,820,170000,0.15,40000,20000,4,on time,12000,8000,0.2,no,unemployed,25000,low
10013,740,150000,0.2,50000,30000,6,late,10000,6000,0.25,yes,employed,18000,medium
10014,660,100000,0.35,80000,60000,9,on time,9000,7000,0.4,no,self-employed,20000,high
10015,780,160000,0.1,50000,30000,3,on time,11000,8000,0.2,no,unemployed,22000,low
10016,850,220000,0.05,30000,25000,5,on time,14000,10000,0.15,no,employed,28000,low
10017,680,95000,0.4,90000,80000,12,late,11000,8000,0.45,yes,self-employed,24000,high
10018,810,210000,0.1,60000,40000,7,on time,13000,9000,0.2,no,unemployed,30000,low
10019,720,130000,0.25,70000,50000,4,on time,10000,5500,0.3,no,employed,15000,low
10020,640,70000,0.35,80000,60000,11,late,9000,7000,0.4,yes,self-employed,18000,high
10021,800,190000,0.1,50000,30000,3,on time,12000,9000,0.2,no,unemployed,25000,low
10022,760,140000,0.2,60000,40000,5,late,11000,6000,0.25,yes,employed,22000,medium
10023,700,120000,0.3,80000,70000,10,on time,10000,7000,0.35,no,self-employed,20000,low
10024,820,170000,0.15,40000,20000,4,on time,12000,8000,0.2,no,unemployed,25000,low
10025,740,150000,0.2,50000,30000,6,late,10000,6000,0.25,yes,employed,18000,medium
10026,660,100000,0.35,80000,60000,9,on time,9000,7000,0.4,no,self-employed,20000,high
10027,780,160000,0.1,50000,30000,3,on time,11000,8000,0.2,no,unemployed,22000,low
10028,850,220000,0.05,30000,25000,5,on time,14000,10000,0.15,no,employed,28000,low
10029,680,95000,0.4,90000,80000,12,late,11000,8000,0.45,yes,self-employed,24000,high
10030,810,210000,0.1,60000,40000,7,on time,13000,9000,0.2,no,unemployed,30000,low
10031,720,130000,0.25,55000,35000,8,late,9000,6500,0.3,yes,employed,19000,medium
10032,790,190000,0.08,35000,28000,4,on time,16000,9500,0.18,no,self-employed,31000,low
10033,670,90000,0.38,80000,70000,11,late,12000,7500,0.42,yes,unemployed,22000,high
10034,840,250000,0.04,40000,32000,6,on time,18000,10000,0.17,no,employed,33000,low
10035,760,140000,0.22,60000,45000,9,late,11000,6000,0.27,yes,self-employed,20000,medium
10036,820,180000,0.12,50000,38000,5,on time,15000,9000,0.22,no,unemployed,29000,low
10037,780,160000,0.18,55000,42000,7,late,14000,7000,0.28,yes,employed,24000,medium
10038,730,110000,0.3,70000,55000,10,on time,13000,6500,0.32,no,self-employed,21000,high
10039,850,220000,0.06,45000,35000,4,on time,17000,10500,0.19,no,unemployed,32000,low
10040,810,200000,0.1,70000,52000,8,late,16000,8500,0.24,yes,employed,28000,medium
10041,760,130000,0.24,60000,40000,9,on time,13000,6500,0.26,no,self-employed,20000,low
